name,price,address,hours,phone,closed,gPlusPlaceId,gps
Bonham Park,,"['San Diego, TX 77074']",,,False,110444411857493369076,"[29.687754, -95.521131]"
Oishii Restaurant,$$,"['3764 Richmond Ave', 'San Diego, TX 77046']","[['Monday', [['11:00 am--10:00 pm']]], ['Tuesday', [['11:00 am--10:00 pm']]], ['Wednesday', [['11:00 am--10:00 pm']], 1], ['Thursday', [['11:00 am--10:00 pm']]], ['Friday', [['11:00 am--10:00 pm']]], ['Saturday', [['12:00--10:00 pm']]], ['Sunday', [['Closed']]]]",(713) 621-8628,False,115503936740558608714,"[29.733025, -95.436873]"
Park Place Regional Library,,"['8145 Park Pl Blvd', 'San Diego, TX 77017']","[['Monday', [['12:00--8:00 pm']]], ['Tuesday', [['10:00 am--6:00 pm']]], ['Wednesday', [['12:00--8:00 pm']]], ['Thursday', [['10:00 am--6:00 pm']], 1], ['Friday', [['1:00--5:00 pm']]], ['Saturday', [['10:00 am--5:00 pm']]], ['Sunday', [['Closed']]]]",(832) 393-1970,False,102044249050887470983,"[29.687752, -95.2752]"
Rock Springs Apartments,,"['9000 Town Park Dr', 'San Diego, TX 77036']",,(713) 776-2385,False,111931969578433475736,"[29.714251, -95.542311]"
Eddy Lim Market,,"['3015 Sauer St', 'San Diego, TX 77004']",,(713) 659-9157,False,115070361631017253123,"[29.732386, -95.358942]"
Coca-Cola Vending,,"['1722 Brittmoore Rd', 'San Diego, TX 77043']",,(800) 241-2653,False,115285675377034985086,"[29.4836, -95.3412]"
Time Saver Discount Liquor,,"['5375 W Richey Rd', 'San Diego, TX 77066']",,(281) 444-5884,False,110123775880099221918,"[29.959671, -95.501369]"
Justin Tire Shop,,"['3425 Jeanetta St', 'San Diego, TX 77063']",,(832) 251-7880,False,110895429552806213847,"[29.726299, -95.524939]"
Park on Memorial,,"['14855 Memorial Dr', 'San Diego, TX 77079']","[['Monday', [['9:00 am--6:00 pm']]], ['Tuesday', [['9:00 am--6:00 pm']]], ['Wednesday', [['9:00 am--6:00 pm']]], ['Thursday', [['9:00 am--6:00 pm']], 1], ['Friday', [['9:00 am--6:00 pm']]], ['Saturday', [['10:00 am--5:00 pm']]], ['Sunday', [['1:00--5:00 pm']]]]",(281) 589-1010,False,100934026203675742253,"[29.772671, -95.614584]"
Abacus Plumbing,,"['San Diego, TX']","[['Monday', [['Open 24 hours']]], ['Tuesday', [['Open 24 hours']]], ['Wednesday', [['Open 24 hours']], 1], ['Thursday', [['Open 24 hours']]], ['Friday', [['Open 24 hours']]], ['Saturday', [['Open 24 hours']]], ['Sunday', [['Open 24 hours']]]]",(713) 812-7070,False,101969763512595721338,"[29.787243, -95.499271]"
Mandolin Apartments,,"['10325 Cypresswood Dr', 'San Diego, TX 77070']","[['Monday', [['9:00 am--6:00 pm']]], ['Tuesday', [['9:00 am--6:00 pm']]], ['Wednesday', [['9:00 am--6:00 pm']]], ['Thursday', [['9:00 am--6:00 pm']], 1], ['Friday', [['9:00 am--6:00 pm']]], ['Saturday', [['10:00 am--5:00 pm']]], ['Sunday', [['1:00--5:00 pm']]]]",(866) 736-7228,False,107072587652833257321,"[29.974766, -95.574694]"
JL Luxurious Foot Spa,,"['9889 Bellaire Blvd #125', 'San Diego, TX 77036']","[['Monday', [['10:00 am--10:00 pm']]], ['Tuesday', [['10:00 am--10:00 pm']]], ['Wednesday', [['10:00 am--10:00 pm']], 1], ['Thursday', [['10:00 am--10:00 pm']]], ['Friday', [['10:00 am--10:00 pm']]], ['Saturday', [['10:00 am--11:00 pm']]], ['Sunday', [['10:00 am--10:00 pm']]]]",(713) 988-6869,False,114214848343299002002,"[29.703388, -95.553618]"
AAM Company,,"['902 Old Mill Ln', 'San Diego, TX 77073']",,(713) 302-3446,False,105705604232287123402,"[30.025062, -95.415817]"
1 Nails & Spa,,"['9510 Beechnut St', 'San Diego, TX 77036']",,(713) 988-5329,False,116087013578285765340,"[29.691052, -95.550702]"
Forest Park Westheimer Cemetery,,"['12800 Westheimer Rd', 'San Diego, TX 77077']","[['Monday', [['8:00 am--6:00 pm']]], ['Tuesday', [['8:00 am--6:00 pm']]], ['Wednesday', [['8:00 am--6:00 pm']], 1], ['Thursday', [['8:00 am--6:00 pm']]], ['Friday', [['8:00 am--6:00 pm']]], ['Saturday', [['8:00 am--6:00 pm']]], ['Sunday', [['8:00 am--6:00 pm']]]]",(281) 497-2330,False,108694891598354886865,"[29.737172, -95.607514]"
Mutual of Omaha Bank,,"['1971 W Gray St', 'San Diego, TX 77019']","[['Monday', [['9:00 am--5:00 pm']]], ['Tuesday', [['9:00 am--5:00 pm']]], ['Wednesday', [['9:00 am--5:00 pm']]], ['Thursday', [['9:00 am--5:00 pm']]], ['Friday', [['9:00 am--5:00 pm']]], ['Saturday', [['Closed']], 1], ['Sunday', [['Closed']]]]",(713) 634-7300,False,118341420454552203298,"[29.752958, -95.406636]"
Apple Auto Repair,,"['12230 Beechnut St', 'San Diego, TX 77072']",,(281) 561-7884,False,115852737788419690890,"[29.689262, -95.594739]"
Tenet Healthcare Corporation,,"['10655 Steepletop Dr', 'San Diego, TX 77065']",,(281) 807-1603,False,116308379102471145292,"[29.927716, -95.590163]"
Pho Binh Bellaire,,"['10827 Bellaire Blvd', 'San Diego, TX 77072']","[['Monday', [['Closed']]], ['Tuesday', [['8:00 am--4:00 pm']], 1], ['Wednesday', [['8:00 am--4:00 pm']]], ['Thursday', [['8:00 am--4:00 pm']]], ['Friday', [['8:00 am--4:00 pm']]], ['Saturday', [['8:00 am--4:00 pm']]], ['Sunday', [['8:00 am--4:00 pm']]]]",(281) 568-7333,False,100646415589768059765,"[29.703308, -95.570138]"
Campbridge at CityView,,"['17206 Imperial Valley Dr', 'San Diego, TX 77060']",,(281) 820-3386,False,107648735405572052597,"[29.94816, -95.397669]"
Inter-continental Jewelers,,"['6222 Richmond Ave #570', 'San Diego, TX 77057']","[['Monday', [['10:00 am--6:00 pm']]], ['Tuesday', [['10:00 am--6:00 pm']]], ['Wednesday', [['10:00 am--6:00 pm']], 1], ['Thursday', [['10:00 am--6:00 pm']]], ['Friday', [['10:00 am--6:00 pm']]], ['Saturday', [['10:00 am--4:00 pm']]], ['Sunday', [['Closed']]]]",(713) 785-9600,False,100175982409316115040,"[29.732006, -95.491653]"
River Oaks Shopping Center,,"['1964 W Gray St', 'San Diego, TX 77019']","[['Monday', [['9:00 am--11:30 pm']]], ['Tuesday', [['9:00 am--11:30 pm']]], ['Wednesday', [['9:00 am--11:30 pm']], 1], ['Thursday', [['9:00 am--11:30 pm']]], ['Friday', [['9:00 am--11:30 pm']]], ['Saturday', [['9:00 am--11:30 pm']]], ['Sunday', [['9:00 am--11:30 pm']]]]",(713) 866-6982,False,102497969072607932160,"[29.753531, -95.407408]"
Trailer Wheel & Frame Company,,"['8222 North Fwy', 'San Diego, TX 77037']","[['Monday', [['7:00 am--6:30 pm']]], ['Tuesday', [['7:00 am--6:30 pm']]], ['Wednesday', [['7:00 am--6:30 pm']]], ['Thursday', [['7:00 am--6:30 pm']], 1], ['Friday', [['7:00 am--6:30 pm']]], ['Saturday', [['8:00 am--5:00 pm']]], ['Sunday', [['Closed']]]]",(281) 931-7777,False,117778366256180714203,"[29.879484, -95.411189]"
Texas Children's Hospital,,"['18200 Katy Fwy', 'San Diego, TX 77094']",,(832) 227-1000,False,118238332501947002199,"[29.787086, -95.69302]"
Pollo Riko,$$$,"['7229 Fondren Rd', 'San Diego, TX 77036']","[['Monday', [['11:00 am--10:00 pm']]], ['Tuesday', [['11:00 am--10:00 pm']]], ['Wednesday', [['11:00 am--10:00 pm']], 1], ['Thursday', [['11:00 am--10:00 pm']]], ['Friday', [['11:00 am--10:00 pm']]], ['Saturday', [['11:00 am--10:00 pm']]], ['Sunday', [['11:00 am--10:00 pm']]]]",(713) 271-4321,False,112019759424304329523,"[29.701649, -95.519139]"
Atlas Auto Services & Parts,,"['14603 Kimberley Ln', 'San Diego, TX 77079']","[['Monday', [['7:30 am--6:00 pm']]], ['Tuesday', [['7:30 am--6:00 pm']]], ['Wednesday', [['7:30 am--6:00 pm']]], ['Thursday', [['7:30 am--6:00 pm']]], ['Friday', [['7:30 am--6:00 pm']], 1], ['Saturday', [['7:30 am--1:00 pm']]], ['Sunday', [['Closed']]]]",(281) 870-0904,False,101641458731597760002,"[29.776039, -95.607096]"
United Roadside & Towing Services,,"['1415 S Voss Rd', 'San Diego, TX 77057']","[['Monday', [['Open 24 hours']]], ['Tuesday', [['Open 24 hours']], 1], ['Wednesday', [['Open 24 hours']]], ['Thursday', [['Open 24 hours']]], ['Friday', [['Open 24 hours']]], ['Saturday', [['Open 24 hours']]], ['Sunday', [['Open 24 hours']]]]",(832) 882-1800,False,101885595419203899394,"[29.751514, -95.499966]"
Ziggy's Bar and Grill,$$$,"['702 Main St', 'San Diego, TX 77002']","[['Monday', [['8:00 am--9:00 pm']]], ['Tuesday', [['8:00 am--9:00 pm']], 1], ['Wednesday', [['8:00 am--9:00 pm']]], ['Thursday', [['8:00 am--9:00 pm']]], ['Friday', [['8:00 am--9:00 pm']]], ['Saturday', [['8:00 am--9:00 pm']]], ['Sunday', [['8:00 am--3:00 pm']]]]",(713) 527-8588,True,113439680369234632259,"[29.759225, -95.36342]"
Walgreens Store San Diego,$$,"['105 W Rd', 'San Diego, TX 77037']","[['Monday', [['Open 24 hours']]], ['Tuesday', [['Open 24 hours']]], ['Wednesday', [['Open 24 hours']]], ['Thursday', [['Open 24 hours']], 1], ['Friday', [['Open 24 hours']]], ['Saturday', [['Open 24 hours']]], ['Sunday', [['Open 24 hours']]]]",(281) 445-1308,False,100949803598037668997,"[29.914961, -95.405358]"
Family Thrift Center,,"['12 Uvalde Rd', 'San Diego, TX 77015']",,(713) 450-9598,False,112261158985826670611,"[29.804684, -95.183923]"
The Belmont,,"['3000 Bissonnet St', 'San Diego, TX 77005']",,(713) 666-0900,False,113916221257948944105,"[29.726103, -95.42482]"
Potter's Wheel,,"['5419 Farm-to-Market 1960 Rd W', 'San Diego, TX 77069']","[['Monday', [['10:00 am--6:00 pm']]], ['Tuesday', [['10:00 am--9:00 pm']]], ['Wednesday', [['10:00 am--6:00 pm']]], ['Thursday', [['10:00 am--9:00 pm']], 1], ['Friday', [['10:00 am--9:00 pm']]], ['Saturday', [['10:00 am--9:00 pm']]], ['Sunday', [['Closed']]]]",(281) 537-8447,False,116523134814254495620,"[29.978244, -95.510854]"
Comunicaciones El Sol Inc,,"['9650 Beechnut St', 'San Diego, TX 77036']",,(713) 988-4121,False,103483101614374973963,"[29.690569, -95.55048]"
Shirdi Sai Baba Temple,,"['5601 Hillcroft St', 'San Diego, TX 77036']",,,False,107080808545056236352,"[29.722074, -95.500159]"
EZPAWN,$$,"['7000 N Fwy #100', 'San Diego, TX 77076']","[['Monday', [['9:00 am--7:00 pm']]], ['Tuesday', [['9:00 am--7:00 pm']]], ['Wednesday', [['9:00 am--7:00 pm']]], ['Thursday', [['9:00 am--7:00 pm']], 1], ['Friday', [['9:00 am--7:00 pm']]], ['Saturday', [['9:00 am--6:00 pm']]], ['Sunday', [['12:00--5:00 pm']]]]",(713) 694-2424,False,118406684163373429758,"[29.863809, -95.403799]"
ARS / Rescue Rooter,,"['San Diego, TX']","[['Monday', [['7:00 am--7:00 pm']]], ['Tuesday', [['7:00 am--7:00 pm']]], ['Wednesday', [['7:00 am--7:00 pm']], 1], ['Thursday', [['7:00 am--7:00 pm']]], ['Friday', [['7:00 am--7:00 pm']]], ['Saturday', [['8:00 am--5:00 pm']]], ['Sunday', [['8:00 am--5:00 pm']]]]",(713) 777-7777,False,110425377249912759719,"[29.809426, -95.379386]"
Lazaro's Pizza,,"['9913 N San Diego Rosslyn Rd', 'San Diego, TX 77088']","[['Monday', [['Closed']]], ['Tuesday', [['11:00 am--9:30 pm']]], ['Wednesday', [['11:00 am--9:30 pm']], 1], ['Thursday', [['11:00 am--9:30 pm']]], ['Friday', [['11:00 am--9:30 pm']]], ['Saturday', [['11:00 am--9:30 pm']]], ['Sunday', [['11:00 am--9:30 pm']]]]",(713) 466-4407,False,115281324263019037889,"[29.886546, -95.494618]"
Memorial Liquor,,"['821 Antoine Dr', 'San Diego, TX 77024']","[['Monday', [['10:00 am--9:00 pm']]], ['Tuesday', [['10:00 am--9:00 pm']]], ['Wednesday', [['10:00 am--9:00 pm']]], ['Thursday', [['10:00 am--9:00 pm']]], ['Friday', [['10:00 am--9:00 pm']]], ['Saturday', [['10:00 am--9:00 pm']], 1], ['Sunday', [['10:00 am--9:00 pm']]]]",(713) 680-3570,False,117756946709027801052,
George Bush Intercontinental Airport,,"['2800 N Terminal Rd', 'San Diego, TX 77032']","[['Monday', [['Open 24 hours']], 1], ['Tuesday', [['Open 24 hours']]], ['Wednesday', [['Open 24 hours']]], ['Thursday', [['Open 24 hours']]], ['Friday', [['Open 24 hours']]], ['Saturday', [['Open 24 hours']]], ['Sunday', [['Open 24 hours']]]]",(281) 230-3100,False,107081426711812928515,"[29.986671, -95.338117]"
Everest Dental,,"['9738 Katy Fwy #400', 'San Diego, TX 77055']",,(713) 640-1100,False,110619863784525568336,"[29.786159, -95.533601]"
Black Walnut Cafe - Memorial Drive,,"['5512 Memorial Dr', 'San Diego, TX 77007']","[['Monday', [['6:30 am--10:00 pm']]], ['Tuesday', [['6:30 am--10:00 pm']]], ['Wednesday', [['6:30 am--10:00 pm']], 1], ['Thursday', [['6:30 am--10:00 pm']]], ['Friday', [['6:30 am--11:00 pm']]], ['Saturday', [['7:00 am--11:00 pm']]], ['Sunday', [['7:00 am--10:00 pm']]]]",(713) 868-1800,False,104340441378599973596,"[29.761936, -95.417989]"
Las Lomas Mexican Restaurant,$$,"['17817 Farm to Market 529', 'San Diego, TX 77095']","[['Monday', [['11:00 am--10:00 pm']]], ['Tuesday', [['11:00 am--10:00 pm']]], ['Wednesday', [['11:00 am--10:00 pm']], 1], ['Thursday', [['11:00 am--10:00 pm']]], ['Friday', [['11:00 am--10:00 pm']]], ['Saturday', [['11:00 am--10:00 pm']]], ['Sunday', [['11:00 am--10:00 pm']]]]",(281) 855-8839,False,101105815493416163908,"[29.87884, -95.680546]"
Snooty Girl Luxury Hair Studio,,"['5645 Hillcroft Tc 1 Dr #311', 'San Diego, TX 77036']","[['Monday', [['8:00 am--5:00 pm']]], ['Tuesday', [['8:00 am--5:00 pm']]], ['Wednesday', [['8:00 am--5:00 pm']]], ['Thursday', [['8:00 am--5:00 pm']], 1], ['Friday', [['7:00 am--7:00 pm']]], ['Saturday', [['7:00 am--7:00 pm']]], ['Sunday', [['Closed']]]]",(713) 924-7015,False,108961232853372452333,"[29.721476, -95.499296]"
Bleyl Middle School,,"['10800 Mills Rd', 'San Diego, TX 77070']",,(281) 897-4340,False,115960236826294394521,"[29.963717, -95.582055]"
Dinner Bell Cafeteria and Bakery,,"['6525 Lawndale St', 'San Diego, TX 77023']","[['Monday', [['6:00 am--7:00 pm']]], ['Tuesday', [['6:00 am--7:00 pm']]], ['Wednesday', [['6:00 am--7:00 pm']]], ['Thursday', [['6:00 am--7:00 pm']], 1], ['Friday', [['6:00 am--7:00 pm']]], ['Saturday', [['Closed']]], ['Sunday', [['11:00 am--5:00 pm']]]]",(713) 928-3239,False,116982888526338250368,"[29.725412, -95.311907]"
Postal-Max,,"['1940 Fountain View Dr', 'San Diego, TX 77057']",,(713) 785-4343,False,112503415928223566194,"[29.747405, -95.486055]"
City Cafe,$$,"['513 College Ave', 'South San Diego, TX 77587']","[['Monday', [['6:00 am--4:00 pm']]], ['Tuesday', [['6:00 am--4:00 pm']]], ['Wednesday', [['6:00 am--4:00 pm']], 1], ['Thursday', [['6:00 am--4:00 pm']]], ['Friday', [['6:00 am--4:00 pm']]], ['Saturday', [['6:00 am--3:00 pm']]], ['Sunday', [['7:30 am--2:00 pm']]]]",(713) 944-3710,False,100738623090118394468,"[29.66275, -95.236281]"
Bikram Hot Yoga San Diego,,"['2438 South Blvd', 'San Diego, TX 77098']","[['Monday', [['6:00 am--8:00 pm']]], ['Tuesday', [['6:00 am--8:00 pm']]], ['Wednesday', [['6:00 am--8:00 pm']], 1], ['Thursday', [['6:00 am--8:00 pm']]], ['Friday', [['6:00 am--8:00 pm']]], ['Saturday', [['8:00 am--6:00 pm']]], ['Sunday', [['8:00 am--6:00 pm']]]]",(713) 664-5333,False,104987166853119938694,"[29.726482, -95.416509]"
Wells Fargo Bank,,"['1500 Waugh Dr', 'San Diego, TX 77019']","[['Monday', [['9:00 am--6:00 pm']]], ['Tuesday', [['9:00 am--6:00 pm']]], ['Wednesday', [['9:00 am--6:00 pm']]], ['Thursday', [['9:00 am--6:00 pm']], 1], ['Friday', [['9:00 am--6:00 pm']]], ['Saturday', [['9:00 am--2:00 pm']]], ['Sunday', [['Closed']]]]",(713) 284-5401,False,104027423396566180414,"[29.753594, -95.398545]"
Kwik Kar,,"['11210 Scarsdale Blvd', 'San Diego, TX 77089']","[['Monday', [['8:00 am--6:00 pm']]], ['Tuesday', [['8:00 am--6:00 pm']]], ['Wednesday', [['8:00 am--6:00 pm']]], ['Thursday', [['8:00 am--6:00 pm']], 1], ['Friday', [['8:00 am--6:00 pm']]], ['Saturday', [['8:00 am--6:00 pm']]], ['Sunday', [['9:00 am--5:00 pm']]]]",(281) 484-5945,False,101718317003057541198,"[29.588573, -95.208221]"
Dentists at Memorial Park - Dr. Cristina Abramian DDS,,"['5535 Memorial Dr', 'San Diego, TX 77007']","[['Monday', [['7:30 am--3:30 pm']]], ['Tuesday', [['7:30 am--3:30 pm']]], ['Wednesday', [['9:00 am--5:00 pm']]], ['Thursday', [['8:00 am--4:00 pm']]], ['Friday', [['8:00 am--1:00 pm']]], ['Saturday', [['Closed']], 1], ['Sunday', [['Closed']]]]",(713) 861-8323,False,114665414869902682941,"[29.760583, -95.417788]"
Settlement Goods & Design,,"['3939 Montrose Blvd', 'San Diego, TX 77006']","[['Monday', [['Closed']]], ['Tuesday', [['11:00 am--7:00 pm']]], ['Wednesday', [['11:00 am--7:00 pm']], 1], ['Thursday', [['11:00 am--7:00 pm']]], ['Friday', [['11:00 am--7:00 pm']]], ['Saturday', [['12:00--5:00 pm']]], ['Sunday', [['12:00--5:00 pm']]]]",(713) 701-7872,False,107438528163715384798,"[29.737212, -95.390793]"
Amtex Carpet Care,,"['6030 Brittmoore Rd', 'San Diego, TX 77041']","[['Monday', [['Open 24 hours']]], ['Tuesday', [['Open 24 hours']]], ['Wednesday', [['Open 24 hours']]], ['Thursday', [['Open 24 hours']], 1], ['Friday', [['Open 24 hours']]], ['Saturday', [['Open 24 hours']]], ['Sunday', [['Open 24 hours']]]]",(713) 937-3303,False,117731234675894182406,"[29.856349, -95.5693]"
Dresser-Rand,,"['10205 Westheimer Rd #1000', 'San Diego, TX 77042']","[['Monday', [['8:00 am--5:00 pm']]], ['Tuesday', [['8:00 am--5:00 pm']]], ['Wednesday', [['8:00 am--5:00 pm']]], ['Thursday', [['8:00 am--5:00 pm']], 1], ['Friday', [['8:00 am--5:00 pm']]], ['Saturday', [['Closed']]], ['Sunday', [['Closed']]]]",(713) 354-6100,False,108106295136586053686,"[29.73592, -95.556377]"
Richmond Shoe Services,,"['1417 Richmond Ave', 'San Diego, TX 77006']",,(713) 528-3557,False,112655060617880531660,"[29.734296, -95.398201]"
Ed's Car Care,,"['9535 Richmond Ave', 'San Diego, TX 77063']","[['Monday', [['9:00 am--5:00 pm']]], ['Tuesday', [['9:00 am--5:00 pm']]], ['Wednesday', [['9:00 am--5:00 pm']]], ['Thursday', [['9:00 am--5:00 pm']], 1], ['Friday', [['9:00 am--5:00 pm']]], ['Saturday', [['9:00 am--5:00 pm']]], ['Sunday', [['Closed']]]]",(713) 266-3777,False,116493850976426118925,"[29.728631, -95.534499]"
"Dr. Shagufta Z. Mohi, MD",,"['9210 Hwy 6 S', 'San Diego, TX 77083']",,(832) 328-0050,False,106619027311855545802,"[29.6794, -95.644316]"
Nester Arellano PC,,"['3303 N Main St # 1', 'San Diego, TX 77009']",,(713) 221-1761,False,105604856558668607514,"[29.788198, -95.3697]"
Mambo Seafood,$$$,"['6101 Airline Dr', 'San Diego, TX 77076']","[['Monday', [['11:00 am--10:30 pm']]], ['Tuesday', [['11:00 am--10:30 pm']]], ['Wednesday', [['11:00 am--10:30 pm']], 1], ['Thursday', [['11:00 am--10:30 pm']]], ['Friday', [['11:00 am--12:00 am']]], ['Saturday', [['11:00 am--12:00 am']]], ['Sunday', [['11:00 am--10:30 pm']]]]",(713) 691-9700,False,109455573117172331109,"[29.85418, -95.384977]"
Japan America Society-San Diego,,"['4543 Post Oak Pl Dr #220', 'San Diego, TX 77027']",,(713) 963-0121,False,103370858943064640793,
M C Creations,,"['18627 State Highway 249', 'San Diego, TX 77070']","[['Monday', [['Closed']]], ['Tuesday', [['8:00 am--6:00 pm']]], ['Wednesday', [['8:00 am--6:00 pm']]], ['Thursday', [['8:00 am--6:00 pm']], 1], ['Friday', [['8:00 am--6:00 pm']]], ['Saturday', [['8:00 am--5:00 pm']]], ['Sunday', [['Closed']]]]",(281) 807-1099,False,118007532581241272757,"[29.968133, -95.559128]"
Lakeview Dental,,"['12002 Richmond Ave', 'San Diego, TX 77082']",,(281) 558-6315,False,109733977430591931431,"[29.731175, -95.589972]"
Blue Mambo,,"['4621 Montrose Blvd #240', 'San Diego, TX 77006']","[['Monday', [['Closed']]], ['Tuesday', [['10:00 am--6:00 pm']]], ['Wednesday', [['10:00 am--6:00 pm']], 1], ['Thursday', [['10:00 am--6:00 pm']]], ['Friday', [['10:00 am--6:00 pm']]], ['Saturday', [['Closed']]], ['Sunday', [['Closed']]]]",(713) 522-4044,False,103110770442024376790,"[29.730779, -95.389658]"
Erotic Cabaret Boutique,,"['1222 Westheimer Rd', 'San Diego, TX 77006']","[['Monday', [['10:00 am--9:00 pm']]], ['Tuesday', [['10:00 am--9:00 pm']]], ['Wednesday', [['10:00 am--9:00 pm']], 1], ['Thursday', [['10:00 am--9:00 pm']]], ['Friday', [['10:00 am--9:00 pm']]], ['Saturday', [['10:00 am--9:00 pm']]], ['Sunday', [['1:00--6:00 pm']]]]",(713) 528-4565,False,107387475511474734469,"[29.744507, -95.393996]"
Bhojan Restaurant,$$,"['6855 Southwest Fwy', 'San Diego, TX 77074']","[['Monday', [['11:00 am--3:00 pm'], ['6:00--9:30 pm']]], ['Tuesday', [['11:00 am--3:00 pm'], ['6:00--9:30 pm']], 1], ['Wednesday', [['11:00 am--3:00 pm'], ['6:00--9:30 pm']]], ['Thursday', [['11:00 am--3:00 pm'], ['6:00--9:30 pm']]], ['Friday', [['11:00 am--3:00 pm'], ['6:00--9:30 pm']]], ['Saturday', [['11:00 am--9:30 pm']]], ['Sunday', [['11:00 am--9:30 pm']]]]",(713) 777-6900,True,111475043882724255714,"[29.711528, -95.504011]"
"Hector M. Viera, MD, FACS",,"['2530 W Holcombe Blvd', 'San Diego, TX 77030']","[['Monday', [['9:00 am--5:00 pm']]], ['Tuesday', [['9:00 am--5:00 pm']]], ['Wednesday', [['9:00 am--5:00 pm']]], ['Thursday', [['9:00 am--5:00 pm']], 1], ['Friday', [['9:00 am--3:00 pm']]], ['Saturday', [['Closed']]], ['Sunday', [['Closed']]]]",(713) 349-0503,False,105057687587794932341,"[29.706324, -95.417393]"
San Diego Gold Buyers,,"['1330 Westheimer Rd #3', 'San Diego, TX 77006']","[['Monday', [['10:00 am--6:00 pm']]], ['Tuesday', [['10:00 am--6:00 pm']]], ['Wednesday', [['10:00 am--6:00 pm']], 1], ['Thursday', [['10:00 am--6:00 pm']]], ['Friday', [['10:00 am--6:00 pm']]], ['Saturday', [['11:00 am--3:00 pm']]], ['Sunday', [['Closed']]]]",(713) 521-2160,False,111525904126167311217,"[29.74377, -95.39562]"
pack n send,,"['6214 Beverly Hill St', 'San Diego, TX 77057']","[['Monday', [['9:00 am--6:00 pm']]], ['Tuesday', [['9:00 am--6:00 pm']]], ['Wednesday', [['9:00 am--6:00 pm']]], ['Thursday', [['9:00 am--6:00 pm']]], ['Friday', [['9:00 am--6:00 pm']], 1], ['Saturday', [['11:00 am--2:00 pm']]], ['Sunday', [['Closed']]]]",(713) 266-1450,False,108310499957095666738,"[29.730753, -95.490746]"
